	( 0 4 )	( 0 3 )	( 0 2 )	( 0 1 )	( 1 44 )	( 1 57 )	( 1 43 )	( 1 30 )	( 1 0 )	( 2 43 )	( 2 44 )	( 2 29 )	( 2 3 )	( 2 0 )	( 3 6 )	( 3 5 )	( 3 2 )	( 3 0 )	( 4 16 )	( 4 40 )	( 4 27 )	( 4 25 )	( 4 15 )	( 4 13 )	( 4 39 )	( 4 0 )	( 5 34 )	( 5 44 )	( 5 31 )	( 5 57 )	( 5 38 )	( 5 29 )	( 5 3 )	( 6 44 )	( 6 34 )	( 6 33 )	( 6 38 )	( 6 42 )	( 6 3 )	( 7 14 )	( 7 13 )	( 7 12 )	( 7 11 )	( 7 10 )	( 7 9 )	( 7 8 )	( 8 65 )	( 8 51 )	( 8 10 )	( 8 62 )	( 8 11 )	( 8 7 )	( 9 64 )	( 9 49 )	( 9 66 )	( 9 19 )	( 9 17 )	( 9 7 )	( 10 8 )	( 10 20 )	( 10 7 )	( 11 24 )	( 11 12 )	( 11 23 )	( 11 22 )	( 11 21 )	( 11 8 )	( 11 20 )	( 11 7 )	( 12 13 )	( 12 11 )	( 12 7 )	( 13 61 )	( 13 26 )	( 13 45 )	( 13 16 )	( 13 40 )	( 13 27 )	( 13 15 )	( 13 25 )	( 13 12 )	( 13 7 )	( 13 4 )	( 14 54 )	( 14 53 )	( 14 52 )	( 14 20 )	( 14 7 )	( 15 16 )	( 15 13 )	( 15 4 )	( 16 25 )	( 16 15 )	( 16 13 )	( 16 4 )	( 17 19 )	( 17 18 )	( 17 9 )	( 18 38 )	( 18 24 )	( 18 17 )	( 19 64 )	( 19 17 )	( 19 9 )	( 20 22 )	( 20 21 )	( 20 52 )	( 20 14 )	( 20 11 )	( 20 23 )	( 20 10 )	( 21 35 )	( 21 20 )	( 21 11 )	( 22 35 )	( 22 20 )	( 22 11 )	( 23 20 )	( 23 11 )	( 24 51 )	( 24 18 )	( 24 11 )	( 25 16 )	( 25 13 )	( 25 4 )	( 26 53 )	( 26 61 )	( 26 13 )	( 27 13 )	( 27 4 )	( 28 32 )	( 28 31 )	( 28 30 )	( 28 29 )	( 29 5 )	( 29 41 )	( 29 28 )	( 29 2 )	( 30 43 )	( 30 42 )	( 30 28 )	( 30 1 )	( 31 58 )	( 31 28 )	( 31 5 )	( 32 34 )	( 32 33 )	( 32 28 )	( 33 32 )	( 33 6 )	( 34 32 )	( 34 6 )	( 34 5 )	( 35 22 )	( 35 21 )	( 36 39 )	( 36 38 )	( 36 37 )	( 37 39 )	( 37 36 )	( 38 43 )	( 38 63 )	( 38 36 )	( 38 6 )	( 38 18 )	( 38 5 )	( 39 45 )	( 39 37 )	( 39 36 )	( 39 4 )	( 40 13 )	( 40 4 )	( 41 44 )	( 41 63 )	( 41 58 )	( 41 29 )	( 42 30 )	( 42 6 )	( 43 71 )	( 43 57 )	( 43 60 )	( 43 46 )	( 43 38 )	( 43 30 )	( 43 2 )	( 43 1 )	( 44 60 )	( 44 6 )	( 44 57 )	( 44 5 )	( 44 41 )	( 44 2 )	( 44 1 )	( 45 46 )	( 45 39 )	( 45 13 )	( 46 50 )	( 46 49 )	( 46 48 )	( 46 47 )	( 46 45 )	( 46 43 )	( 47 70 )	( 47 69 )	( 47 68 )	( 47 67 )	( 47 49 )	( 47 59 )	( 47 46 )	( 48 55 )	( 48 46 )	( 49 50 )	( 49 67 )	( 49 47 )	( 49 46 )	( 49 9 )	( 50 49 )	( 50 46 )	( 51 62 )	( 51 24 )	( 51 8 )	( 52 20 )	( 52 14 )	( 53 54 )	( 53 26 )	( 53 14 )	( 54 61 )	( 54 53 )	( 54 14 )	( 55 60 )	( 55 71 )	( 55 57 )	( 55 48 )	( 56 58 )	( 56 57 )	( 57 59 )	( 57 55 )	( 57 56 )	( 57 43 )	( 57 44 )	( 57 5 )	( 57 1 )	( 58 56 )	( 58 41 )	( 58 31 )	( 59 57 )	( 59 60 )	( 59 47 )	( 60 67 )	( 60 59 )	( 60 55 )	( 60 70 )	( 60 44 )	( 60 69 )	( 60 43 )	( 61 54 )	( 61 26 )	( 61 13 )	( 62 51 )	( 62 8 )	( 63 41 )	( 63 38 )	( 64 19 )	( 64 9 )	( 65 66 )	( 65 8 )	( 66 65 )	( 66 9 )	( 67 49 )	( 67 60 )	( 67 47 )	( 68 70 )	( 68 47 )	( 69 60 )	( 69 47 )	( 70 68 )	( 70 60 )	( 70 47 )	( 71 55 )	( 71 43 )
1714636915	4.683	5.636	4.977	4.047	4.519	3.685	2.005	4.771	3.664	3.645	1.217	6.32	3.425	2.504	5.401	6.383	2.498	12.31	6.278	6.241	7.014	6.252	6.434	4.668	12.08	5.509	5.243	2.716	10.64	2.964	12.72	11.74	7.4	2.313	5.786	9.359	1.964	9.733	4.075	10.52	4.953	8.698	8.268	6.503	4.622	7.56	12.95	8.329	8.231	10.01	2.529	9.989	10.69	13.57	12.72	11.48	10.16	3.903	0.9998	0.9079	0.9998	13.16	8.953	8.43	10.25	8.292	5.933	9.186	8.537	0.9998	0.9998	0.9998	13.12	5.857	12	9.465	12.58	12.24	9.209	8.641	5.847	10.16	4.801	13.33	9.298	8.769	9.896	9.273	0.7772	0.9954	0.9998	0.9354	0.5372	0.9954	0.9998	12.99	13.23	7.435	6.05	12.98	13.31	4.779	12.54	9.146	11.81	11.02	12.39	2.952	2.026	11.65	2.209	11.97	9.651	1.934	0.7057	0.9998	0.9998	0.9998	0.9998	9.984	13.31	12.01	0.7772	0.9954	0.9998	11.03	11.82	2	0.9954	0.9998	6.179	4.048	6.172	2.15	10.46	3.071	1.646	10.79	9.037	12.22	5.46	5.439	6.459	4.731	6.264	4.395	4.161	10.53	0.8995	0.9998	5.423	0.9998	1.982	0.3439	0.9835	5.841	13.38	13.48	13.43	12.73	11.87	12.73	13.62	9.885	6.333	11.52	9.329	13.33	10.84	8.331	0.9954	0.9998	4.086	3.675	4.214	2.543	2.734	1.699	8.941	10.36	10.66	4.435	5.439	9.329	9.412	7.966	9.827	5.782	2.808	2.781	5.547	4.16	3.853	13.42	12.13	10.71	6.686	9.838	12.72	3.424	13.56	5.454	8.286	6.964	8.544	9.813	7.806	7.943	1.979	6.162	2.921	7.64	5.816	9.165	10.73	12.4	0.9998	0.9998	8.351	1.959	0.9998	0.9998	0.9998	12.12	12.56	2.975	10.61	12.15	11.92	12.68	11.36	4.708	3.022	5.828	4.019	4.182	4.227	9.825	3.862	4.294	5.404	4.86	7.914	9.001	4.588	6.712	0.9998	4.451	9.772	10.93	13.34	9.338	4.647	10.78	3.759	10.04	6.701	9.141	8.782	8.005	8.872	2.874	0.9835	0.9998	7.38	10.17	11.52	6.65	3.786	5.024	0.9954	0.9998	0.9954	0.9998	0.9835	7.838	1.959	0.9835	0.9954	0.9835
1957747793	4.756	5.174	4.765	4.017	4.205	3.896	1.969	3.802	5.388	3.367	1.262	5.136	3.843	2.51	4.953	5.178	2.052	11.68	6.213	6.08	6.172	5.804	5.4	4.745	12.18	6.67	5.67	2.483	8.997	2.895	12.66	11.26	10.2	2.664	4.622	9.169	1.956	8.794	4.537	10.25	4.952	6.172	8.24	6.158	4.532	8.043	12.48	6.654	7.609	8.408	2.522	10.45	10.5	13.58	12.66	10.87	10.12	3.882	0.9809	0.9271	0.9809	13.24	8.699	8.743	9.303	9.609	4.703	8.823	8.239	0.9809	0.9809	0.9809	13.23	5.589	12.46	7.557	12.28	11.47	7.054	8.16	5.248	10.36	5.046	13.29	9.056	8.183	8.945	10.09	0.5732	0.9798	0.9809	0.8072	0.8662	0.9901	0.9935	12.69	13.29	7.598	6.276	13.19	13.06	5.714	12.99	10.19	12.01	11.94	12.04	2.922	2.451	12	2.067	12.39	9.846	1.969	0.9271	0.9809	0.9809	0.93	0.9798	9.54	13.41	12.15	0.5732	0.9798	0.9809	11.08	12.52	1.973	0.9798	0.93	5.711	4.129	5.717	2.418	11.39	2.805	1.784	11.1	8.988	12.07	5.303	4.012	6.102	5.592	6.372	4.156	3.644	9.334	0.93	0.9798	4.514	0.9809	1.923	0.8804	0.9798	5.821	13.54	13.34	13.15	13.09	11.65	12.54	13.56	9.655	6.554	10.84	9.038	13.25	10	8.089	0.9798	0.93	3.972	4.097	4.27	2.009	2.386	1.996	9.997	9.039	10.18	4.633	6.366	9.032	8.231	8.307	9.345	6.267	3.243	3.297	5.84	2.932	3.459	13.32	12.05	10.06	7.787	9.997	12.56	3.107	13.61	5.837	9.157	6.225	8.53	9.326	7.641	8.268	1.89	5.894	2.886	6.807	6.035	9.497	10.97	12.56	0.9798	0.93	9.088	1.969	0.9809	0.9798	0.9324	12.14	12.18	2.915	10.77	11.83	11.71	12.35	10.57	4.487	3.396	5.262	4.895	4.079	4.633	9.269	3.934	4.22	5.624	4.761	7.888	7.464	4.427	7.424	0.9809	4.526	10.3	11.72	13.37	10.99	4.912	10.3	3.858	10.14	8.328	9.427	8.673	6.39	9.766	2.904	0.9798	0.9798	7.185	11.64	12.1	6.401	3.564	4.89	0.9798	0.9798	0.9798	0.9798	0.9798	9.607	1.969	0.9798	0.9219	0.9798
424238335	4.712	5.889	5.594	3.826	4.272	3.646	2.319	3.789	4.83	3.559	1.328	4.881	3.912	2.71	5.234	5.553	1.768	11.82	6.412	6.491	6.474	6.255	5.683	4.697	12.1	6.073	5.403	3.163	10.01	2.68	12.95	11.66	11.32	2.625	5.105	8.613	1.991	8.422	4.309	9.97	4.919	7.597	8.203	6.715	4.568	8.195	12.82	7.127	8.67	9.734	2.626	10.99	10.29	13.56	12.56	11.17	10.16	3.845	0.9955	0.9893	0.9955	13.26	8.883	8.988	8.758	9.871	5.446	8.831	10.21	0.9955	0.9955	0.9955	13.18	5.448	12.16	7.639	12.19	11.6	8.34	7.714	5.476	9.931	5.357	13.19	8.539	8.819	9.575	10.02	0.5974	0.9893	0.9955	0.7357	0.6011	0.9909	0.9955	13.03	13.12	7.303	6.156	12.92	13.11	6.449	12.73	9.523	12.14	12.2	11.36	2.935	2.661	11.24	1.791	12.71	10.5	1.912	0.9893	0.9955	0.9955	0.9893	0.9859	8.053	13.11	12.29	0.5974	0.9893	0.9955	11.49	11.99	1.961	0.9893	0.9791	6.117	4.477	6.252	2.026	10.36	3.337	2.266	11.23	8.636	12.2	5.741	3.904	5.896	4.555	6.514	4.472	4.876	10.15	0.8777	0.9893	5.03	0.9702	1.874	0.2934	0.9859	5.894	13.4	13.33	13.3	13.19	12.15	12.44	13.66	9.735	6.41	11.28	9.292	13.44	10.94	7.797	0.9893	0.9791	4.5	3.9	4.176	2.836	1.938	2.214	9.554	9.913	9.755	4.434	4.779	9.712	9.67	8.113	10.69	6.404	3.255	3.689	5.983	3.902	3.17	13.25	12.43	10.82	5.38	10.28	12.29	3.686	13.39	6.175	10.05	6.545	8.002	9.727	7.602	8.16	1.918	5.993	2.897	6.644	5.641	9.326	10.96	12.65	0.9893	0.9893	9.112	1.94	0.9955	0.9893	0.9859	11.12	12.46	2.961	11	12.03	11.75	12.94	10.71	4.762	2.951	5.738	4.987	4.11	4.483	9.848	3.582	3.798	5.159	4.545	8.312	6.93	4.499	6.736	0.9955	4.748	11.15	11.38	13.12	11.27	4.312	9.589	3.819	8.976	8.59	9.278	6.36	6.522	7.929	2.879	0.9893	0.9893	7.404	10.66	12.18	6.716	3.41	4.811	0.9893	0.9893	0.9893	0.9893	0.9893	9.289	1.961	0.9893	0.9252	0.9893
