	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
1804289383	9.287	9.772	8.985	8.924	9.108	9.012	9.391	9.914	8.801	7.324	8.028	8.24	9.058	9.687	10.4	8.208	9.895	8.707	8.234	7.395	8.795	8.424	9.922	10.5	8.529	10.71	10.08	8.935	7.962	9.744	9.652	10.62	7.567	9.422	8.725	9.683	9.338	8.54	9.799	7.426	8.276	10	9.175	8.194	9.741	7.871	8.939	7.851	8.304	7.678	7.93	9.871	10.38	9.772	9.391	9.086	9.266	8.391	9.428	7.762	10.32	8.855	10.18	9.69	7.994	11.11	7.673	9.802	10.22	9.252	8.363	10.25
846930886	7.864	9.457	9.528	8.549	8.904	9.894	8.549	10.16	10.38	8.131	9.752	8.859	8.387	7.842	9.684	8.815	8.739	8.15	7.755	9.206	9.129	9.511	8.813	9.186	9.577	10.26	10.04	7.023	9.645	8.964	9.104	9.728	7.897	8.178	8.93	9.5	7.583	8.533	8.318	8.842	8.812	9.466	9.7	8.523	9.982	7.81	8.124	9.843	8.766	7.659	8.756	8.8	7.802	11.73	8.866	8.774	8.771	9.054	9.665	7.639	9.699	11.46	8.8	11.08	8.233	10.33	8.702	9.611	8.287	9.4	9.062	7.829
1681692777	8.875	9.658	8.367	8.216	8.396	10.35	9.143	9.1	8.744	7.432	10.2	8.33	9.805	8.871	8.424	8.735	7.788	8.917	8.82	8.627	10.73	8.814	10.56	9.304	9.179	9.558	10.46	10.39	9.793	9.173	9.13	8.242	9.812	9.311	9.032	9.424	9.14	6.688	8.333	8.627	8.624	10.41	10.9	10.06	8.834	8.111	8.828	9.971	7.757	7.777	9.127	9.431	9.462	8.685	9.51	10.03	7.669	8.43	10.51	8.224	8.939	9.56	9.798	9.314	8.325	9.961	7.971	10.12	9.093	9.666	9.23	9.5
