	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
1804289383	6.24	8.904	6.7	8.426	7.044	8.397	10.2	8.219	9.814	9.993	10.54	8.348	7.671	7.422	9.961	8.219	8.434	11.42	11.6	7.743	9.272	9.621	10.02	9.894	8.645	7.459	8.365	7.835	7.896	10	9.957	8.49	8.02	11.14	9.672	8.976	10.45	7.967	9.783	8.795	6.262	12.44	9.576	7.982	8.922	10.28	7.954	9.711	9.533	8.246	7.604	9.015	10.29	9.846	8.387	8.636	11.52	9.004	10.82	8.753	9.097	7.442	9.991	9.398	8.402	10.2	10.78	10.3	9.836	8.638	9.372	7.721
846930886	7.792	10.16	8.531	8.124	7.362	8.523	10.3	9.404	9.482	11.05	10.74	8.727	9.593	6.83	9.794	7.413	7.833	12.37	11.63	8.32	9.127	9.402	10.49	9.293	8.127	7.854	8.797	5.554	8.878	8.515	8.934	9.658	9.392	10.3	9.044	8.373	9.364	7.855	8.083	7.355	8.728	14.21	10.1	8.264	8.508	9.36	8.99	9.913	7.516	10.27	8.641	9.829	8.423	9.401	8.253	11.07	10.45	8.315	9.471	8.083	8.381	7.215	10.08	11.67	8.304	10.34	10.06	9.577	9.057	9.08	9.368	7.342
1681692777	7.525	9.198	6.963	7.636	7.066	8.477	10.52	9.173	10.06	9.938	10.28	8.601	8.84	7.978	8.25	7.282	8.116	12.63	13.01	7.64	9.696	8.247	9.355	8.994	8.17	7.077	8.43	6.577	8.285	8.638	8.546	8.933	9.347	10.64	8.422	9.935	8.858	8.032	9.197	8.031	8.891	10.59	10.67	9.734	8.791	10.3	7.864	9.121	8.95	9.192	7.653	9.954	8.772	7.858	7.061	9.652	12.35	8.451	12.14	10.79	10.02	6.796	9.705	9.966	7.474	11.15	9.535	9.482	10.26	8.01	10.13	9.898
1714636915	7.51	9.564	7.236	7.497	7.851	9.465	10.07	8.374	9.291	10.23	10.29	7.865	8.247	6.76	8.747	5.795	9.174	11.75	10.91	7.633	8.832	9.651	9.966	9.606	8.395	7.524	9.56	6.858	8.717	8.041	9.095	9.687	10.1	10.7	9.061	10.38	10	6.542	8.894	7.168	7.318	10.78	10.58	7.4	8.714	9.033	9.309	10.76	8.305	8.892	8.943	11.18	10.66	8.514	8.306	9.838	12.53	8.057	10.66	9.797	8.186	7.062	9.769	9.995	7.951	10.13	11.13	10.1	8.804	8.987	9.475	9.471
1957747793	8.267	9.121	8.44	7.834	7.247	7.587	10.64	9.097	9.609	9.838	9.092	9.875	7.529	6.533	8.376	7.721	7.347	10.63	11.4	7.544	8.285	10.28	9.721	8.621	8.449	6.873	7.755	7.241	8.799	9.263	9.189	10.42	8.524	11.26	10.09	8.729	10.7	7.474	9.52	7.618	7.018	10.74	9.761	8.767	8.317	9.644	8.423	8.105	7.526	8.491	7.799	9.776	11.15	8.781	6.875	9.42	12.2	9.718	9.445	9.55	9.356	7.548	9.496	10.92	6.618	9.524	10.68	7.847	11.49	11.32	10.95	8.56
