	( 0 4 )	( 0 3 )	( 0 2 )	( 0 1 )	( 1 44 )	( 1 57 )	( 1 43 )	( 1 30 )	( 1 0 )	( 2 43 )	( 2 44 )	( 2 29 )	( 2 3 )	( 2 0 )	( 3 6 )	( 3 5 )	( 3 2 )	( 3 0 )	( 4 16 )	( 4 40 )	( 4 27 )	( 4 25 )	( 4 15 )	( 4 13 )	( 4 39 )	( 4 0 )	( 5 34 )	( 5 44 )	( 5 31 )	( 5 57 )	( 5 38 )	( 5 29 )	( 5 3 )	( 6 44 )	( 6 34 )	( 6 33 )	( 6 38 )	( 6 42 )	( 6 3 )	( 7 14 )	( 7 13 )	( 7 12 )	( 7 11 )	( 7 10 )	( 7 9 )	( 7 8 )	( 8 65 )	( 8 51 )	( 8 10 )	( 8 62 )	( 8 11 )	( 8 7 )	( 9 64 )	( 9 49 )	( 9 66 )	( 9 19 )	( 9 17 )	( 9 7 )	( 10 8 )	( 10 20 )	( 10 7 )	( 11 24 )	( 11 12 )	( 11 23 )	( 11 22 )	( 11 21 )	( 11 8 )	( 11 20 )	( 11 7 )	( 12 13 )	( 12 11 )	( 12 7 )	( 13 61 )	( 13 26 )	( 13 45 )	( 13 16 )	( 13 40 )	( 13 27 )	( 13 15 )	( 13 25 )	( 13 12 )	( 13 7 )	( 13 4 )	( 14 54 )	( 14 53 )	( 14 52 )	( 14 20 )	( 14 7 )	( 15 16 )	( 15 13 )	( 15 4 )	( 16 25 )	( 16 15 )	( 16 13 )	( 16 4 )	( 17 19 )	( 17 18 )	( 17 9 )	( 18 38 )	( 18 24 )	( 18 17 )	( 19 64 )	( 19 17 )	( 19 9 )	( 20 22 )	( 20 21 )	( 20 52 )	( 20 14 )	( 20 11 )	( 20 23 )	( 20 10 )	( 21 35 )	( 21 20 )	( 21 11 )	( 22 35 )	( 22 20 )	( 22 11 )	( 23 20 )	( 23 11 )	( 24 51 )	( 24 18 )	( 24 11 )	( 25 16 )	( 25 13 )	( 25 4 )	( 26 53 )	( 26 61 )	( 26 13 )	( 27 13 )	( 27 4 )	( 28 32 )	( 28 31 )	( 28 30 )	( 28 29 )	( 29 5 )	( 29 41 )	( 29 28 )	( 29 2 )	( 30 43 )	( 30 42 )	( 30 28 )	( 30 1 )	( 31 58 )	( 31 28 )	( 31 5 )	( 32 34 )	( 32 33 )	( 32 28 )	( 33 32 )	( 33 6 )	( 34 32 )	( 34 6 )	( 34 5 )	( 35 22 )	( 35 21 )	( 36 39 )	( 36 38 )	( 36 37 )	( 37 39 )	( 37 36 )	( 38 43 )	( 38 63 )	( 38 36 )	( 38 6 )	( 38 18 )	( 38 5 )	( 39 45 )	( 39 37 )	( 39 36 )	( 39 4 )	( 40 13 )	( 40 4 )	( 41 44 )	( 41 63 )	( 41 58 )	( 41 29 )	( 42 30 )	( 42 6 )	( 43 71 )	( 43 57 )	( 43 60 )	( 43 46 )	( 43 38 )	( 43 30 )	( 43 2 )	( 43 1 )	( 44 60 )	( 44 6 )	( 44 57 )	( 44 5 )	( 44 41 )	( 44 2 )	( 44 1 )	( 45 46 )	( 45 39 )	( 45 13 )	( 46 50 )	( 46 49 )	( 46 48 )	( 46 47 )	( 46 45 )	( 46 43 )	( 47 70 )	( 47 69 )	( 47 68 )	( 47 67 )	( 47 49 )	( 47 59 )	( 47 46 )	( 48 55 )	( 48 46 )	( 49 50 )	( 49 67 )	( 49 47 )	( 49 46 )	( 49 9 )	( 50 49 )	( 50 46 )	( 51 62 )	( 51 24 )	( 51 8 )	( 52 20 )	( 52 14 )	( 53 54 )	( 53 26 )	( 53 14 )	( 54 61 )	( 54 53 )	( 54 14 )	( 55 60 )	( 55 71 )	( 55 57 )	( 55 48 )	( 56 58 )	( 56 57 )	( 57 59 )	( 57 55 )	( 57 56 )	( 57 43 )	( 57 44 )	( 57 5 )	( 57 1 )	( 58 56 )	( 58 41 )	( 58 31 )	( 59 57 )	( 59 60 )	( 59 47 )	( 60 67 )	( 60 59 )	( 60 55 )	( 60 70 )	( 60 44 )	( 60 69 )	( 60 43 )	( 61 54 )	( 61 26 )	( 61 13 )	( 62 51 )	( 62 8 )	( 63 41 )	( 63 38 )	( 64 19 )	( 64 9 )	( 65 66 )	( 65 8 )	( 66 65 )	( 66 9 )	( 67 49 )	( 67 60 )	( 67 47 )	( 68 70 )	( 68 47 )	( 69 60 )	( 69 47 )	( 70 68 )	( 70 60 )	( 70 47 )	( 71 55 )	( 71 43 )
1804289383	8.327	9.089	9.897	6.486	6.899	6.655	0.9915	5.74	6.566	10.5	3.322	10.11	3.827	7.224	3.73	10.43	3.083	5.522	5.906	4.674	5.443	5.634	6.118	9.097	7.668	9.138	10.58	7.145	9.389	8.721	10.53	5.505	7.042	2.445	4.7	10.23	0	10.52	1.898	6.351	0	6.674	8.744	9.129	8.065	10.68	11.21	10.06	9.857	0	3.959	8.257	5.996	7.724	7.566	8.882	11.28	4.627	0.9915	0.9665	0.9915	8.257	7.682	6.057	6.242	8.585	8.971	9.877	11.23	7.823	10.33	9.864	9.436	2.45	5.735	5.346	7.021	5.799	6.895	6.601	9.651	0	8.428	7.302	1.346	10.29	3.315	8.287	6.991	1.984	0.9788	2.427	0.9915	0.9915	1.671	5.198	10.83	6.895	8.968	4.905	7.292	6.018	4.612	2.925	5.933	8.485	8.526	1.776	7.532	8.371	2.134	8.411	0.9915	2.97	0.9915	0.9915	0.9915	0.9915	0.9915	5.047	4.05	2.891	0.9469	2.893	6.875	6.203	2.739	1.745	0.9915	0.9788	2.608	10.5	9.946	9.145	3.851	6.93	10.95	5.537	5.632	10.12	8.029	5.293	10.68	8.595	3.892	2.619	0	2.76	0	0.9915	8.705	9.945	2.97	10.07	1.975	4.329	2.983	5.324	0.9915	0.9915	7.393	6.197	8.605	0	7.693	9.186	0.9915	5.902	1.891	1.955	3.841	7.135	2.936	10.12	7.738	4.35	2.946	10.45	8.28	8.262	10.71	10.45	8.419	8.411	6.539	4.226	7.528	7.66	0.9921	2.947	7.831	4.417	5.391	6.763	5.232	8.115	6.275	5.851	4.617	6.784	8.951	7.635	0	9.428	8.455	12.02	5.491	5.367	5.41	0.9915	0.9915	2.672	8.78	5.424	3.881	8.913	0.9893	0.9915	9.195	2.638	2.042	10.11	4.371	0.9915	0.9915	0.9537	6.112	7.199	9.105	1.954	1.237	1.954	7.281	0.9915	0.9915	7.296	6.351	4.735	8.887	0	9.8	9.112	10	10.8	2.949	8.42	8.589	4.262	4.905	9.79	8.351	10.58	8.136	6.579	8.412	10.06	8.846	7.209	0.9915	0	4.212	2.894	0.9915	0.9915	11.94	8.762	8.231	10.69	12.12	0.9915	8.597	10.78	12.88	2.976	7.655	10.97	7.233	0	0.5678	0.9915
846930886	8.296	9.452	10.22	6.305	7.319	6.922	0.9974	5.989	6.602	10.24	3.606	9.738	4.077	7.506	3.367	10.5	3.27	5.688	5.521	4.705	4.71	5.773	5.874	8.952	7.188	9.456	8.239	8.187	9.333	9.671	9.71	5.401	6.669	2.941	3.598	8.725	0	8.327	2.935	6.156	0	7.522	9.197	8.792	8.139	10.75	11.5	9.723	10.1	0	3.873	8.018	7.635	8.045	7.782	6.224	11.77	4.216	0.9974	0.9413	0.9974	8.982	7.822	6.055	5.728	8.797	9.1	9.737	9.592	7.733	9.912	9.557	9.067	2.002	5.813	4.891	7.169	6.741	7.56	7.505	9.2	0	8.777	7.077	1.875	9.758	3.591	8.426	6.169	1.958	0.997	2.175	0.9974	0.9974	1.936	5.317	10.06	6.953	8.118	4.775	6.959	6.169	4.404	2.961	8.262	8.406	7.401	1.767	7.174	7.838	1.991	7.299	0.9974	2.893	0.9974	0.9974	0.9974	0.997	0.997	4.112	4.01	2.753	0.997	2.946	6.628	4.947	2.173	1.874	0.997	0.997	3.161	11.42	10.04	9.238	3.615	6.275	10.51	5.791	5.824	9.042	8.688	6.738	11.08	9.22	3.888	2.562	0	3.212	0	0.997	8.464	9.052	2.973	8.662	1.958	4.963	2.907	5.667	0.9944	0.9944	7.723	6.235	7.296	0	7.018	8.232	0.9974	6.424	1.952	1.989	3.872	5.855	2.948	9.814	8.25	4.008	3.772	9.034	7.806	7.539	11.35	9.656	8.035	8.577	6.608	5.439	7.344	6.3	0.9947	2.947	8.759	4.345	7.559	6.631	3.568	8.461	7.833	6.627	4.547	6.882	9.145	7.447	0	10.84	9.445	13.17	4.922	3.709	5.451	0.997	0.997	2.284	8.168	5.627	3.922	8.795	0.9944	0.997	8.094	1.876	1.958	9.431	4.74	0.9974	0.9974	0.9274	6.203	6.545	9.762	1.979	1.725	1.963	6.961	0.997	0.997	8.086	8.3	5.641	8.427	0	9.512	6.743	9.259	9.568	2.947	8.554	7.557	5.111	5.627	8.611	9.701	10.83	7.948	6.644	7.83	9.348	7.085	6.788	0.997	0	4.232	2.796	0.997	0.997	12.27	9.096	8.924	11.95	12.02	0.9974	8.455	9.104	11.58	2.969	6.002	11.54	7.565	0	0.778	0.997
1681692777	8.65	9.214	9.89	6.574	7.807	6.034	0.9944	6.34	6.326	10.83	3.731	9.664	3.971	7.756	3.52	9.922	3.731	5.766	5.336	5.268	5.398	5.503	5.703	9.031	7.056	9.59	9.652	8.594	8.999	8.997	10.14	6	7.157	2.712	4.135	10.24	0	8.033	2.148	6.44	0	6.816	10.57	9.446	8.653	10.61	10.66	11.13	7.91	0	3.813	7.759	7.37	8.619	9.209	7.19	11.99	4.369	0.9944	0.9219	0.9944	8.617	8.552	4.781	6.845	8.691	10.19	9.338	9.718	7.659	9.8	9.343	9.26	1.807	5.85	4.467	7.098	5.718	7.049	6.75	9.432	0	8.69	6.34	1.157	9.35	2.764	7.904	6.055	1.966	0.9903	2.22	0.9944	0.9944	1.871	5.186	11.04	7.344	7.63	5.378	7.115	6.329	5.556	2.895	7.465	8.561	7.691	1.908	7.495	7.269	2.475	8.616	0.9944	2.889	0.9944	0.9944	0.9944	0.9944	0.9944	4.681	4.296	2.857	0.8424	2.828	5.938	6.229	2.779	1.553	0.9944	0.9903	2.938	10.46	9.829	8.189	3.697	6.16	10.85	5.763	5.77	9.72	8.081	5.638	10.35	8.036	3.957	2.664	0	3.001	0	0.9944	8.76	9.186	2.953	7.966	1.966	4.168	2.913	7.424	0.9944	0.9944	8.12	4.729	7.835	0	6.739	8.404	0.9944	6.604	1.937	1.988	3.832	5.675	2.969	10.98	8.353	4.779	3.321	11.28	7.668	7.208	11.39	8.694	8.259	8.848	6.659	4.242	7.108	6.974	0.9903	2.927	9.189	3.835	6.599	6.678	5.561	8.212	6.445	6.18	4.37	6.668	9.664	7.659	0	10.41	9.024	12.78	3.689	5.565	5.493	0.9944	0.9944	2.534	8.938	4.895	3.928	10.2	0.9917	0.9944	10.42	2.502	2.54	9.312	4.672	0.9944	0.9944	0.9219	6.494	6.702	9.665	1.907	0.9738	1.907	8.183	0.9944	0.9944	7.916	7.719	6.822	9.011	0	9.4	9.214	8.551	11.79	2.95	7.806	8.148	4.739	6.99	8.233	8.987	11.02	8.272	6.234	8.236	9.793	7.458	7.219	0.9944	0	4.36	2.878	0.9944	0.9944	11.73	8.638	8.332	12.08	13.44	0.9944	8.839	9.156	13.05	2.985	5.742	12.17	7.685	0	0.5333	0.9944
1714636915	8.461	9.51	10	6.539	7.337	6.928	0.9845	5.415	6.427	10.5	3.577	10.7	4.245	7.499	3.885	10.24	4.013	5.344	6.11	5.208	5.917	5.413	5.967	9.28	8.073	9.539	9.834	8.457	9.374	9.12	10.37	5.246	6.991	2.92	3.545	9.954	0	7.122	2.506	6.92	0	7.692	9.406	8.459	8.013	10.72	11.14	10.37	7.85	0	3.845	7.834	5.626	7.933	8.563	8.546	11.64	4.226	0.9998	0.9079	0.9998	10.17	7.797	6.19	5.538	8.825	9.467	9.402	10.77	7.823	10.39	9.318	8.692	1.902	5.709	4.633	7.579	5.794	6.776	7.024	9.542	0	8.403	7.098	1.102	9.852	3.502	8.232	6.892	1.982	0.9998	2.112	0.9998	0.9998	1.958	5.537	10.09	7.27	9.511	5.26	6.562	5.879	5.08	2.917	8.163	8.446	8.061	1.738	7.689	9.407	2.294	9.107	0.9998	2.94	0.9998	0.9998	0.9998	0.9998	0.9998	4.224	4.246	2.719	0.981	2.929	7.037	5.744	2.84	1.684	0.9998	0.9998	2.8	11.05	10.38	7.872	3.944	5.068	11.52	5.769	5.672	10.1	7.826	6.878	10.89	8.67	3.907	2.367	0	3.21	0	0.9998	7.995	9.982	2.952	7.753	1.982	4.161	2.905	4.942	0.9998	0.9998	7.623	6.558	8.871	0	6.462	8.416	0.9998	6.397	1.997	2	3.888	5.352	3.494	10.56	8.181	5.02	3.565	9.85	7.642	7.824	10.96	10.55	8.233	7.667	6.618	5.847	7.945	8.146	0.9954	2.952	6.751	3.765	7.209	6.701	5.265	8.246	7.818	6.685	4.423	6.271	9.419	7.659	0	11.52	9.331	13.46	4.347	4.467	5.393	0.9998	0.9998	3.007	8.961	5.807	3.894	8.765	0.9954	0.9998	8.945	2.823	2.765	9.893	4.229	0.9998	0.9998	0.9079	6.011	8.802	10.2	1.997	1.587	1.997	6.935	0.9998	0.9998	7.874	7.602	8.094	8.34	0	9.546	8.426	8.883	10.79	2.987	8.499	9.017	4.778	4.651	7.718	8.19	11.77	7.276	6.149	8.497	9.645	7.188	6.741	0.9998	0	4.893	2.822	0.9998	0.9998	12.48	8.818	8.941	11.33	12.64	0.9998	9.381	9.949	11.67	2.966	7.15	11.9	7.102	0	0.8581	0.9998
1957747793	8.488	8.926	9.79	6.782	6.689	6.833	0.9901	5.452	5.914	10.11	3.584	9.485	3.163	7.543	4.33	10.66	3.575	5.523	4.975	4.399	6.096	6.549	5.746	9.168	7.363	9.34	10.6	7.814	8.618	8.835	9.644	5.058	6.682	2.86	4.022	9.814	0	9.508	2.269	5.626	0	6.936	8.646	7.721	8.231	10.64	10.26	9.782	9.373	0	3.796	8.37	7.398	7.984	8.219	7.106	10.25	4.571	0.9809	0.9757	0.9809	8.431	8.228	8.171	7.192	8.731	9.15	9.981	10.91	7.659	9.655	9.044	9.614	2.115	5.688	4.902	6.938	6.52	8.034	7.112	9.806	0	8.283	7.116	1.558	10.14	2.66	8.374	7.667	1.977	0.9809	2.998	0.9935	0.9935	1.657	5.535	10.14	7.054	7.984	4.564	6.644	5.833	5.242	2.91	5.836	8.777	8.003	1.359	6.609	8.092	1.524	10.43	0.9809	2.966	0.9809	0.9809	0.9809	0.9798	0.9798	4.908	3.65	2.972	0.8426	2.788	7.585	6.528	3.033	1.842	0.9798	0.93	3.254	11.85	10.08	8.851	3.817	5.903	11.06	5.776	5.593	10.76	7.492	6.227	10.97	9.456	3.896	2.436	0	2.744	0	0.9798	9.482	10.26	2.937	7.782	1.969	4.7	2.876	7.328	0.9798	0.9798	7.883	6.359	8.706	0	6.356	8.104	0.9935	6.796	1.91	1.975	3.691	5.809	2.966	10.84	6.879	4.353	3.26	9.638	7.024	8.323	11.02	9.052	8.011	8.592	6.631	5.412	7.511	8.732	0.997	2.913	7.436	4	7.101	6.708	4.288	7.827	7.036	6.733	4.995	6.886	9.636	7.371	0	8.729	9.119	12.92	4.136	5.536	5.524	0.9798	0.9798	2.972	8.21	5.191	3.901	9.005	0.9584	0.9798	6.95	1.949	2.547	9.05	4.244	0.9809	0.9809	0.8277	5.867	7.6	10.31	1.989	1.106	1.989	7.064	0.9798	0.9798	8.864	8.264	6.839	8.704	0	9.885	8.865	11.21	11.61	2.972	8.457	8.657	3.741	6.465	9.391	8.33	11.31	8.366	7.094	8.472	9.929	7.285	7.028	0.9798	0	3.68	2.65	0.9798	0.9798	13.26	9.001	9.403	11.89	13.03	0.9809	8.871	9.396	12.5	2.939	6.211	11.89	7.34	0	0.7745	0.9798
