	( 0 4 )	( 0 3 )	( 0 2 )	( 0 1 )	( 1 44 )	( 1 57 )	( 1 43 )	( 1 30 )	( 1 0 )	( 2 43 )	( 2 44 )	( 2 29 )	( 2 3 )	( 2 0 )	( 3 6 )	( 3 5 )	( 3 2 )	( 3 0 )	( 4 16 )	( 4 40 )	( 4 27 )	( 4 25 )	( 4 15 )	( 4 13 )	( 4 39 )	( 4 0 )	( 5 34 )	( 5 44 )	( 5 31 )	( 5 57 )	( 5 38 )	( 5 29 )	( 5 3 )	( 6 44 )	( 6 34 )	( 6 33 )	( 6 38 )	( 6 42 )	( 6 3 )	( 7 14 )	( 7 13 )	( 7 12 )	( 7 11 )	( 7 10 )	( 7 9 )	( 7 8 )	( 8 65 )	( 8 51 )	( 8 10 )	( 8 62 )	( 8 11 )	( 8 7 )	( 9 64 )	( 9 49 )	( 9 66 )	( 9 19 )	( 9 17 )	( 9 7 )	( 10 8 )	( 10 20 )	( 10 7 )	( 11 24 )	( 11 12 )	( 11 23 )	( 11 22 )	( 11 21 )	( 11 8 )	( 11 20 )	( 11 7 )	( 12 13 )	( 12 11 )	( 12 7 )	( 13 61 )	( 13 26 )	( 13 45 )	( 13 16 )	( 13 40 )	( 13 27 )	( 13 15 )	( 13 25 )	( 13 12 )	( 13 7 )	( 13 4 )	( 14 54 )	( 14 53 )	( 14 52 )	( 14 20 )	( 14 7 )	( 15 16 )	( 15 13 )	( 15 4 )	( 16 25 )	( 16 15 )	( 16 13 )	( 16 4 )	( 17 19 )	( 17 18 )	( 17 9 )	( 18 38 )	( 18 24 )	( 18 17 )	( 19 64 )	( 19 17 )	( 19 9 )	( 20 22 )	( 20 21 )	( 20 52 )	( 20 14 )	( 20 11 )	( 20 23 )	( 20 10 )	( 21 35 )	( 21 20 )	( 21 11 )	( 22 35 )	( 22 20 )	( 22 11 )	( 23 20 )	( 23 11 )	( 24 51 )	( 24 18 )	( 24 11 )	( 25 16 )	( 25 13 )	( 25 4 )	( 26 53 )	( 26 61 )	( 26 13 )	( 27 13 )	( 27 4 )	( 28 32 )	( 28 31 )	( 28 30 )	( 28 29 )	( 29 5 )	( 29 41 )	( 29 28 )	( 29 2 )	( 30 43 )	( 30 42 )	( 30 28 )	( 30 1 )	( 31 58 )	( 31 28 )	( 31 5 )	( 32 34 )	( 32 33 )	( 32 28 )	( 33 32 )	( 33 6 )	( 34 32 )	( 34 6 )	( 34 5 )	( 35 22 )	( 35 21 )	( 36 39 )	( 36 38 )	( 36 37 )	( 37 39 )	( 37 36 )	( 38 43 )	( 38 63 )	( 38 36 )	( 38 6 )	( 38 18 )	( 38 5 )	( 39 45 )	( 39 37 )	( 39 36 )	( 39 4 )	( 40 13 )	( 40 4 )	( 41 44 )	( 41 63 )	( 41 58 )	( 41 29 )	( 42 30 )	( 42 6 )	( 43 71 )	( 43 57 )	( 43 60 )	( 43 46 )	( 43 38 )	( 43 30 )	( 43 2 )	( 43 1 )	( 44 60 )	( 44 6 )	( 44 57 )	( 44 5 )	( 44 41 )	( 44 2 )	( 44 1 )	( 45 46 )	( 45 39 )	( 45 13 )	( 46 50 )	( 46 49 )	( 46 48 )	( 46 47 )	( 46 45 )	( 46 43 )	( 47 70 )	( 47 69 )	( 47 68 )	( 47 67 )	( 47 49 )	( 47 59 )	( 47 46 )	( 48 55 )	( 48 46 )	( 49 50 )	( 49 67 )	( 49 47 )	( 49 46 )	( 49 9 )	( 50 49 )	( 50 46 )	( 51 62 )	( 51 24 )	( 51 8 )	( 52 20 )	( 52 14 )	( 53 54 )	( 53 26 )	( 53 14 )	( 54 61 )	( 54 53 )	( 54 14 )	( 55 60 )	( 55 71 )	( 55 57 )	( 55 48 )	( 56 58 )	( 56 57 )	( 57 59 )	( 57 55 )	( 57 56 )	( 57 43 )	( 57 44 )	( 57 5 )	( 57 1 )	( 58 56 )	( 58 41 )	( 58 31 )	( 59 57 )	( 59 60 )	( 59 47 )	( 60 67 )	( 60 59 )	( 60 55 )	( 60 70 )	( 60 44 )	( 60 69 )	( 60 43 )	( 61 54 )	( 61 26 )	( 61 13 )	( 62 51 )	( 62 8 )	( 63 41 )	( 63 38 )	( 64 19 )	( 64 9 )	( 65 66 )	( 65 8 )	( 66 65 )	( 66 9 )	( 67 49 )	( 67 60 )	( 67 47 )	( 68 70 )	( 68 47 )	( 69 60 )	( 69 47 )	( 70 68 )	( 70 60 )	( 70 47 )	( 71 55 )	( 71 43 )
1714636915	8.555	5.001	4.054	4.341	1.88	4.469	0.9845	4.737	2.789	1.918	0.9702	3.668	4.465	1.981	4.584	4.357	0.9564	2.878	4.558	4.779	3.939	4.079	3.651	5.421	5.24	9.899	3.743	1.873	8.213	2.805	2.653	4.628	2.888	1.936	0.9473	7.744	1.964	5.951	1.852	4.819	3.831	3.563	5.189	5.32	6.964	4.131	5.152	4.442	4.168	4.369	2.345	1.961	4.684	12.15	12.5	5.242	4.28	5.715	2.222	2.514	0.9954	5.043	2.603	5.124	5.637	5.32	2.642	6.151	2.722	0.9829	0.8713	0.9954	5.688	5.812	4.756	3.782	3.59	3.824	3.711	3.818	3.913	4.326	4.069	4.324	4.26	4.559	2.872	3.631	0.7772	0.9954	0.9998	0.9354	0.5372	0.9954	0.9998	5.042	6.795	4.544	10.7	11.48	10.16	0.7721	0.9998	0.9998	3.341	3.463	4.662	2.628	1.93	2.96	3.05	0.7654	0.9835	0.9998	0.7057	0.9835	0.9998	0.9835	0.9998	10.6	11.94	6.082	0.7772	0.9954	0.9998	5.765	0.858	2	0.9954	0.9998	4.521	1.636	3.33	1.797	0.9998	2.463	1.839	1.898	2.838	3.338	4.628	1.839	5.033	2.174	1.956	1.578	2.156	2.569	0.8934	0.9998	2.987	0.9702	1.812	7.421	7.147	4.575	11.17	11.68	0.9835	0.9998	5.346	6.284	12.97	5.231	10.2	5.048	3.405	4.131	5.549	3.663	0.9954	0.9998	1.95	2.768	3.014	1.856	2.351	1.699	10.07	4.613	4.528	5.488	6.097	4.308	5.167	3.608	2.839	4.123	2.825	1.894	3.78	2.541	1.842	12.21	5.7	4.445	3.561	4.546	11.87	4.121	12.59	6.346	4.94	6.933	4.919	3.125	1.971	6.555	1.979	4.104	2.779	3.851	5.191	6.016	5.012	12.24	0.9835	0.9998	8.934	6.459	5.027	0.9998	0.9954	0.6875	4.614	1.969	4.81	0.5156	1.853	1.963	1.587	1.988	4.16	5.232	2.869	3.911	3.503	6.391	2.62	2.891	2.869	2.961	2.4	2.387	2.803	3.902	0.9112	4.803	4.528	1.606	6.253	4.899	4.334	4.08	2.605	5.904	0.936	1.982	0.9998	0.9954	4.801	2.584	0.605	0.9998	3.318	3.822	11.44	10.8	3.816	5.105	0.9954	0.9954	0.9998	0.9998	0.9954	3.133	1.929	0.9835	0.8581	0.9998
1957747793	8.631	5.993	2.511	4.327	1.548	5.562	0.9901	4.046	2.835	1.921	0.93	4.043	3.483	1.954	3.721	4.135	0.9901	2.896	4.47	3.959	3.406	3.829	3.644	5.578	4.972	10.06	3.189	1.804	7.591	2.782	2.816	4.356	2.791	1.909	1.489	7.594	1.942	7.06	1.938	4.253	3.475	4.107	4.644	5.523	6.776	4.302	4.828	4.174	4.074	4.641	2.376	1.932	4.087	12.44	12.43	5.263	3.386	5.721	2.432	2.922	0.9809	5.476	3.562	6.235	5.506	6.094	2.603	4.445	2.839	0.9809	0.9791	0.9757	5.238	6.019	5.229	3.87	3.668	4.37	3.272	4.043	3.43	4.674	5.106	3.902	4.978	4.153	2.759	3.671	0.5732	0.9798	0.9809	0.8072	0.8662	0.9901	0.9935	4.418	7.965	4.646	10.5	10.87	10.7	0.3592	0.9791	0.9809	4.102	3.091	4.879	1.86	1.954	3.59	2.678	0.9271	0.9757	0.9809	0.9271	0.9757	0.9809	0.8277	0.9798	10.53	12.06	5.89	0.5732	0.9798	0.9809	6.195	0.7548	1.973	0.9798	0.93	3.74	1.903	3.579	2.183	0.9935	1.801	1.562	2	2.727	3.843	5.299	2.535	4.336	1.704	1.974	1.62	1.712	2.085	0.6198	0.9798	3.279	0.93	1.658	8.38	5.16	4.305	11.45	12.44	0.9798	0.9791	5.587	5.507	12.95	4.553	10.02	4.637	2.697	4.901	5.415	3.598	0.9798	0.93	1.955	2.429	2.847	1.341	2.386	1.996	10.31	4.931	4.91	5.54	5.959	5.236	4.78	3.502	2.829	3.862	2.708	2.502	3.95	1.724	1.673	12.63	4.909	4.542	3.834	4.532	12.17	3.847	12.47	6.431	4.47	6.381	4.801	3.293	1.98	6.49	1.945	3.865	2.725	4.569	4.516	5.142	5.486	12.46	0.9798	0.93	8.478	6.744	5.467	0.9798	0.9324	0.9757	4.915	1.975	4.863	0.5272	1.974	1.947	1.106	1.905	4.484	4.017	2.881	3.737	3.46	6.597	2.423	2.458	3.461	2.645	2.689	2.129	2.597	3.839	0.8546	4.849	4.342	1.39	6.146	5.107	3.917	4.482	2.624	6.087	0.6321	1.972	0.9791	0.9798	4.34	2.894	0.6281	0.9798	3.75	4.053	11.78	11.31	3.681	4.55	0.8882	0.93	0.9798	0.9791	0.9798	4.03	1.895	0.9798	0.7745	0.9798
424238335	9.028	5.827	3.698	4.337	1.512	4.574	0.9859	4.402	2.957	1.949	0.9955	3.917	5.435	1.637	3.727	4.236	0.9859	2.877	4.58	5.058	4.261	4.666	3.722	5.553	5.675	10.36	3.646	1.92	7.41	2.166	2.767	4.769	3.918	1.928	1.858	8.308	1.92	5.994	1.927	4.406	3.904	3.885	4.56	4.612	7.25	4.317	5.356	4.456	4.88	4.035	2.313	1.986	4.284	12.86	12.11	3.79	3.38	5.562	2.547	3.349	0.9859	5.459	3.294	6.758	5.433	6.084	2.676	4.592	2.928	0.9791	0.9893	0.9859	5.621	5.119	4.015	4.014	4.214	3.702	3.266	3.941	4.256	4.024	4.332	4.5	3.811	4.124	2.667	3.695	0.5974	0.9893	0.9955	0.7357	0.6011	0.9893	0.9955	2.987	6.411	4.732	10.54	10.8	10.57	0.9859	0.9955	0.9955	3.028	3.936	5.52	2.084	1.913	3.032	2.827	0.9893	0.9732	0.9955	0.9893	0.9732	0.9955	0.9732	0.9859	9.933	12.25	5.809	0.5974	0.9893	0.9955	5.001	0.5346	1.961	0.9893	0.9791	5.065	1.781	3.317	1.939	0.9893	1.841	1.769	1.548	2.874	3.472	5.303	1.6	5.684	1.78	1.961	1.238	2.646	2.227	0.8469	0.9893	3.201	0.9955	1.801	4.486	7.931	4.537	11.23	12.35	0.9893	0.9859	5.749	6.188	12.58	5.306	10.23	5.396	3.201	5.314	4.43	3.473	0.9893	0.9791	1.934	2.314	3.048	1.539	1.82	2.214	10.26	3.602	3.588	5.31	6.22	4.213	4.928	4.393	2.826	3.808	2.614	2.167	3.396	2.008	1.446	12.66	6.048	4.7	3.429	4.677	11.99	3.895	11.77	5.985	5.039	6.212	4.169	2.908	1.955	6.586	1.918	3.97	2.803	3.458	4.538	4.994	4.688	12.35	0.9893	0.9791	7.573	6.512	5.167	0.9893	0.9859	0.9732	4.192	1.971	5.529	0.8021	1.952	1.907	1.105	1.981	4.931	5.223	2.897	4.239	3.965	5.987	2.726	2.401	3.268	2.55	2.421	1.775	2.187	3.786	0.9252	4.737	4.467	2.024	6.441	4.271	4.507	3.793	2.779	5.614	0.5686	1.969	0.9859	0.9893	3.423	2.767	0.8017	0.9893	4.059	3.524	11.9	10.54	3.412	5.002	0.9499	0.9791	0.9893	0.9791	0.9893	3.856	1.887	0.9893	0.9252	0.9893
