	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
1804289383	8.665	16.36	11.24	13.26	11.43	11.31	13.13	14.4	13.06	7.848	13.7	11.97	13.97	8.013	14.28	8.65	9.677	8.735	8.303	7.966	12.64	10.91	13.66	14.36	9.53	10.42	19.89	8.549	7.864	14	8.57	13.91	9.301	15.7	13.76	12.74	10.31	8.085	10.47	12.51	7.757	15.84	14.62	17.39	13.56	11.15	8.268	9.072	9.503	8.304	7.404	11.5	13.77	17.27	16.49	11.19	11.56	12.45	10.53	13.79	13.82	12.61	15.84	11.38	9.954	15.02	8.408	11.6	11.89	10.98	11.59	11.15
846930886	10.37	16.38	12.76	14.23	9.369	9.94	13.34	14.64	14.92	7.005	13.64	10.16	12.98	8.025	13.2	8.696	8.034	8.664	11.45	8.231	14.64	13.78	12.72	15.2	9.657	9.041	18.9	8.912	11.45	13.4	10.84	14.53	12.39	18.92	14.24	17.44	8.626	6.534	9.005	11.66	8.351	16.89	14.82	16.65	12.64	10.45	9.638	11.09	8.684	7.453	8.889	9.684	13.41	17.42	18.48	8.966	14.94	13.96	9.834	13.61	11.24	14.95	15.96	12.63	8.27	15.41	8.048	11.97	12.07	11.26	14.82	12.66
1681692777	10.58	15.56	11.43	11.05	7.693	10.73	11.07	15.18	15.25	7.399	13.53	9.854	13.34	7.925	14.27	8.502	8.042	7.621	9.706	8.594	13.98	12.25	15.85	13.19	11.08	9.165	13.6	9.715	10.2	10.62	12.49	9.054	13.89	19.44	13.09	13.02	10.45	7.226	10.32	12.38	9.175	14.83	15.67	15.14	13.48	11.74	8.775	10.9	7.374	7.901	9.217	9.318	14.18	14.63	15.53	10.27	11.27	12.72	11.84	9.928	9.758	16.76	14.1	11.51	8.562	14.96	7.926	13.23	13.31	11.29	12.5	11.94
