72
0	1	1	2
0	2	1	2
0	3	1	1
0	4	1	16
1	0	1	2
1	30	1	2
1	43	1	1
1	57	1	1
1	44	1	1
2	0	1	2
2	3	1	2
2	29	1	1
2	44	1	1
2	43	1	1
3	0	1	1
3	2	1	2
3	5	1	2
3	6	1	2
4	0	1	16
4	15	1	1
4	25	1	1
4	27	1	1
4	40	1	1
4	16	1	1
4	39	1	2
4	13	1	1
5	3	1	2
5	29	1	1
5	38	1	1
5	57	1	1
5	34	1	1
5	31	1	1
5	44	1	1
6	3	1	2
6	38	1	1
6	33	1	1
6	34	1	1
6	42	1	1
6	44	1	1
7	8	1	2
7	9	1	7
7	10	1	2
7	11	1	1
7	12	1	1
7	13	1	7
7	14	1	2
8	7	1	2
8	11	1	2
8	62	1	3
8	51	1	3
8	65	1	10
8	10	1	1
9	7	1	7
9	17	1	6
9	19	1	1
9	66	1	6
9	49	1	8
9	64	1	1
10	7	1	2
10	8	1	1
10	20	1	2
11	7	1	1
11	8	1	2
11	20	1	2
11	21	1	29
11	22	1	29
11	23	1	29
11	12	1	1
11	24	1	3
12	7	1	1
12	11	1	1
12	13	1	7
13	4	1	1
13	7	1	7
13	12	1	7
13	15	1	1
13	25	1	1
13	27	1	1
13	40	1	1
13	16	1	1
13	45	1	2
13	26	1	8
13	61	1	8
14	7	1	2
14	52	1	1
14	20	1	1
14	53	1	3
14	54	1	3
15	4	1	1
15	13	1	1
15	16	1	1
16	4	1	1
16	13	1	1
16	15	1	1
16	25	1	1
17	9	1	6
17	18	1	1
17	19	1	6
18	17	1	1
18	24	1	1
18	38	1	21
19	9	1	1
19	17	1	6
19	64	1	1
20	10	1	2
20	11	1	2
20	14	1	1
20	52	1	1
20	21	1	29
20	22	1	29
20	23	1	29
21	11	1	29
21	20	1	29
21	35	1	3
22	11	1	29
22	20	1	29
22	35	1	3
23	11	1	29
23	20	1	29
24	11	1	3
24	18	1	1
24	51	1	1
25	4	1	1
25	13	1	1
25	16	1	1
26	13	1	8
26	61	1	1
26	53	1	1
27	4	1	1
27	13	1	1
28	29	1	2
28	30	1	1
28	31	1	2
28	32	1	1
29	2	1	1
29	5	1	1
29	28	1	2
29	41	1	2
30	1	1	2
30	28	1	1
30	42	1	2
30	43	1	2
31	5	1	1
31	28	1	2
31	58	1	43
32	28	1	1
32	33	1	2
32	34	1	2
33	6	1	1
33	32	1	2
34	5	1	1
34	6	1	1
34	32	1	2
35	21	1	3
35	22	1	3
36	37	1	1
36	38	1	7
36	39	1	15
37	36	1	1
37	39	1	15
38	5	1	1
38	6	1	1
38	18	1	21
38	36	1	7
38	63	1	2
38	43	1	1
39	4	1	2
39	36	1	15
39	37	1	15
39	45	1	1
40	4	1	1
40	13	1	1
41	29	1	2
41	58	1	44
41	63	1	1
41	44	1	2
42	6	1	1
42	30	1	2
43	1	1	1
43	2	1	1
43	30	1	2
43	38	1	1
43	46	1	13
43	60	1	4
43	57	1	1
43	71	1	1
44	1	1	1
44	2	1	1
44	5	1	1
44	6	1	1
44	41	1	2
44	60	1	4
44	57	1	1
45	13	1	2
45	39	1	1
45	46	1	8
46	43	1	13
46	45	1	8
46	47	1	11
46	48	1	3
46	49	1	1
46	50	1	1
47	46	1	11
47	59	1	1
47	49	1	11
47	67	1	1
47	68	1	1
47	69	1	1
47	70	1	1
48	46	1	3
48	55	1	11
49	9	1	8
49	46	1	1
49	47	1	11
49	67	1	11
49	50	1	1
50	46	1	1
50	49	1	1
51	8	1	3
51	24	1	1
51	62	1	1
52	14	1	1
52	20	1	1
53	14	1	3
53	26	1	1
53	54	1	1
54	14	1	3
54	53	1	1
54	61	1	1
55	48	1	11
55	57	1	4
55	71	1	4
55	60	1	1
56	57	1	43
56	58	1	1
57	1	1	1
57	5	1	1
57	43	1	1
57	44	1	1
57	55	1	4
57	56	1	43
57	59	1	4
58	31	1	43
58	41	1	44
58	56	1	1
59	47	1	1
59	57	1	4
59	60	1	2
60	43	1	4
60	44	1	4
60	55	1	1
60	59	1	2
60	67	1	2
60	69	1	2
60	70	1	2
61	13	1	8
61	26	1	1
61	54	1	1
62	8	1	3
62	51	1	1
63	38	1	2
63	41	1	1
64	9	1	1
64	19	1	1
65	8	1	10
65	66	1	1
66	9	1	6
66	65	1	1
67	47	1	1
67	49	1	11
67	60	1	2
68	47	1	1
68	70	1	1
69	47	1	1
69	60	1	2
70	47	1	1
70	60	1	2
70	68	1	1
71	43	1	1
71	55	1	4
